Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:km,Short name:en,Short name:km,Description:en,Description:km_KH,Data class,Data type,Answers,Members,_version:nested_mappings,_order:1000
e0e2a550-6529-4319-8ad1-a9ac6f982cc5,,,Khmer,ខ្មែរ,Khmer,ខ្មែរ,,,Misc,Text,,,,
e75275b7-c43d-466f-8da9-12bffbec6e37,,,(Khmer) Cham,(ខ្មែរ) ចាម,(Khmer) Cham,(ខ្មែរ) ចាម,,,Misc,Text,,,,
4cafc3b9-80dd-4e60-a0df-83afe6c2fd69,,,(Khmer) Chinese,(ខ្មែរ) ចិន,(Khmer) Chinese,(ខ្មែរ) ចិន,,,Misc,Text,,,,
8dd8799b-b384-4f63-9297-c647158e4a47,,,(Khmer) Vietnam,(ខ្មែរ) វៀតណាម,(Khmer) Vietnam,(ខ្មែរ) វៀតណាម,,,Misc,Text,,,,
ca65c7b7-aa5e-4d4a-9d34-275876b4a541,,,Jarai,ចារ៉ាយ,Jarai,ចារ៉ាយ,,,Misc,Text,,,,
7b149790-1a2b-49e7-8376-39c771d3af6c,,,Rhade,រដែ,Rhade,រដែ,,,Misc,Text,,,,
02a54992-8c31-43be-8942-751f565141b1,,,Kachac,កាចក់,Kachac,កាចក់,,,Misc,Text,,,,
d81573f8-f8f4-41db-b686-991730441188,,,Tampuon,ទំពួន,Tampuon,ទំពួន,,,Misc,Text,,,,
5719a8ef-9710-4c2e-8488-f5bc709f62b6,,,Brao,ព្រៅ,Brao,ព្រៅ,,,Misc,Text,,,,
60a3c14a-79f2-4a26-8ffc-d33da3dd91b7,,,Kreung,ជនជាតិគ្រឹង,Kreung,ជនជាតិគ្រឹង,,,Misc,Text,,,,
260e3617-c949-45d3-8b85-a7dbdbb81563,,,Kravet,ក្រាវ៉ែត,Kravet,ក្រាវ៉ែត,,,Misc,Text,,,,
93cbe6ac-8667-401b-9073-8e5b4f50306e,,,Lun,លន់,Lun,លន់,,,Misc,Text,,,,
ef869b8a-a938-4321-9869-4f24ebd8fcae,,,Phnong,ព្នង,Phnong,ព្នង,,,Misc,Text,,,,
5d37e985-b1c1-439e-a2ff-119a0d9885cd,,,Stieng,ស្ទាង,Stieng,ស្ទាង,,,Misc,Text,,,,
8db9a264-b7d5-4f57-932c-065a87c3cde3,,,Kraol,ក្រោល,Kraol,ក្រោល,,,Misc,Text,,,,
bbca3df5-4cc1-460c-9469-38ba7e8d19c0,,,Mel,មិល,Mel,មិល,,,Misc,Text,,,,
04d26fff-c135-41e8-b640-b7a1350de2ac,,,Poar,ព័រ,Poar,ព័រ,,,Misc,Text,,,,
23019ee4-0cdb-4b20-94c7-f4e41b82b514,,,Saoch,ស្អូច,Saoch,ស្អូច,,,Misc,Text,,,,
28ce6e34-bd13-4e3e-ad3c-e76f4079836f,,,Suoy,សួយ,Suoy,សួយ,,,Misc,Text,,,,
e17927d1-2638-4268-bc16-55685637de61,,,Khmer Khe,ខ្មែរ ខិ,Khmer Khe,ខ្មែរ ខិ,,,Misc,Text,,,,
24648282-832e-47b2-a2c7-e9b4b55432ec,,,Kuy,កួយ,Kuy,កួយ,,,Misc,Text,,,,
bac9af94-07b3-44f2-b678-5f02ad5959e4,,,Robel,រ៉ូបែល,Robel,រ៉ូបែល,,,Misc,Text,,,,
7ac73249-5407-462f-822b-e8476d282990,,,Thmaun,ថ្មូន,Thmaun,ថ្មូន,,,Misc,Text,,,,
86708afc-1c10-41fe-a188-6b39ea3e2dde,,,Loemoun,ល្អឺន (ឡឺអ៊ឺន),Loemoun,ល្អឺន (ឡឺអ៊ឺន),,,Misc,Text,,,,
26d23594-3722-4b6b-9de9-9eae166d4192,,,Kola,កូឡា,Kola,កូឡា,,,Misc,Text,,,,
5352eb5a-e1b9-4003-9025-6ad26d3da5d0,,,Kaning,កានីង,Kaning,កានីង,,,Misc,Text,,,,
8d57672b-bc62-49dd-a417-ef62b8522275,,,Poang,ប៉ូអាង?,Poang,ប៉ូអាង?,,,Misc,Text,,,,
769d258d-c6f8-477e-a5ed-10ff07c80fe3,,,Roong,រ៉ូអ៊ុង,Roong,រ៉ូអ៊ុង,,,Misc,Text,,,,
57fe19cb-c83e-4778-99f6-a20d55b40191,,,Other Indigenous,ជនជាតិដើមភាគតិចផ្សេងទៀត,Other Indigenous,ជនជាតិដើមភាគតិចផ្សេងទៀត,,,Misc,Text,,,,
f2d24b16-aff5-46df-b764-444a544993c9,,,Other,ផ្សេងទៀត,Other,ផ្សេងទៀត,,,Misc,Text,,,,
c8b01687-086e-4f7e-ad0d-db77c423a2a7,,,Cambodia_Nationality,សញ្ជាតិកម្ពុជា,Nationality,សញ្ជាតិកម្ពុជា,,,Question,Coded,Khmer;(Khmer) Cham;(Khmer) Chinese;(Khmer) Vietnam;Jarai;Rhade;Kachac;Tampuon;Brao;Kreung;Kravet;Lun;Phnong;Stieng;Kraol;Mel;Poar;Saoch;Suoy;Khmer Khe;Kuy;Robel;Thmaun;Loemoun;Kola;Kaning;Poang;Roong;Other Indigenous;Other,,,